identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
FS2RDF-domain-range-simple-ar	fs2rdf-domain-range-simple-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-equivalent-classes-2-annotation-ar	fs2rdf-equivalent-classes-2-annotation-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-equivalent-classes-2-ar	fs2rdf-equivalent-classes-2-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-equivalent-classes-3-annotation-ar	fs2rdf-equivalent-classes-3-annotation-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-equivalent-classes-3-ar	fs2rdf-equivalent-classes-3-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-literals-ar	fs2rdf-literals-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-parse
FS2RDF-negative-property-assertion-ar	fs2rdf-negative-property-assertion-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-no-builtin-prefixes-ar	fs2rdf-no-builtin-prefixes-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-ontology-annotation-annotation-ar	fs2rdf-ontology-annotation-annotation-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
FS2RDF-property-attributes-ar	fs2rdf-property-attributes-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
FS2RDF-propertychain-2-annotated-ar	fs2rdf-propertychain-2-annotated-ar	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	-	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	graded	graded
