identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
rdfbased-sem-char-transitive-inst	rdfbased-sem-char-transitive-inst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-class-nothing-ext	rdfbased-sem-class-nothing-ext	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-class-nothing-term	rdfbased-sem-class-nothing-term	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-class-nothing-type	rdfbased-sem-class-nothing-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-class-thing-term	rdfbased-sem-class-thing-term	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-class-thing-type	rdfbased-sem-class-thing-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-enum-inst-included	rdfbased-sem-enum-inst-included	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-different-irrflxv	rdfbased-sem-eqdis-different-irrflxv	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-eqdis-different-sameas	rdfbased-sem-eqdis-different-sameas	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-eqdis-disclass-eqclass	rdfbased-sem-eqdis-disclass-eqclass	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-eqdis-disclass-inst	rdfbased-sem-eqdis-disclass-inst	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-eqdis-disclass-irrflxv	rdfbased-sem-eqdis-disclass-irrflxv	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
rdfbased-sem-eqdis-disprop-eqprop	rdfbased-sem-eqdis-disprop-eqprop	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-eqdis-disprop-inst	rdfbased-sem-eqdis-disprop-inst	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-eqdis-disprop-irrflxv	rdfbased-sem-eqdis-disprop-irrflxv	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-eqdis-eqclass-inst	rdfbased-sem-eqdis-eqclass-inst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqclass-rflxv	rdfbased-sem-eqdis-eqclass-rflxv	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqclass-subclass-1	rdfbased-sem-eqdis-eqclass-subclass-1	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqclass-subclass-2	rdfbased-sem-eqdis-eqclass-subclass-2	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqclass-subst	rdfbased-sem-eqdis-eqclass-subst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqclass-sym	rdfbased-sem-eqdis-eqclass-sym	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqclass-trans	rdfbased-sem-eqdis-eqclass-trans	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqprop-inst	rdfbased-sem-eqdis-eqprop-inst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqprop-rflxv	rdfbased-sem-eqdis-eqprop-rflxv	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqprop-subprop-1	rdfbased-sem-eqdis-eqprop-subprop-1	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqprop-subprop-2	rdfbased-sem-eqdis-eqprop-subprop-2	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqprop-subst	rdfbased-sem-eqdis-eqprop-subst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqprop-sym	rdfbased-sem-eqdis-eqprop-sym	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-eqprop-trans	rdfbased-sem-eqdis-eqprop-trans	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-sameas-rflxv	rdfbased-sem-eqdis-sameas-rflxv	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-sameas-subst	rdfbased-sem-eqdis-sameas-subst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-sameas-sym	rdfbased-sem-eqdis-sameas-sym	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-eqdis-sameas-trans	rdfbased-sem-eqdis-sameas-trans	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-inv-inst	rdfbased-sem-inv-inst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-key-def	rdfbased-sem-key-def	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-ndis-alldifferent-fw	rdfbased-sem-ndis-alldifferent-fw	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-ndis-alldifferent-fw-distinctmembers	rdfbased-sem-ndis-alldifferent-fw-distinctmembers	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-ndis-alldisjointclasses-fw	rdfbased-sem-ndis-alldisjointclasses-fw	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-ndis-alldisjointproperties-fw	rdfbased-sem-ndis-alldisjointproperties-fw	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-npa-dat-fw	rdfbased-sem-npa-dat-fw	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-npa-ind-fw	rdfbased-sem-npa-ind-fw	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-prop-backwardcompatiblewith-type-annot	rdfbased-sem-prop-backwardcompatiblewith-type-annot	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-comment-type	rdfbased-sem-prop-comment-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-deprecated-type	rdfbased-sem-prop-deprecated-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-incompatiblewith-type-annot	rdfbased-sem-prop-incompatiblewith-type-annot	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-isdefinedby-type	rdfbased-sem-prop-isdefinedby-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-label-type	rdfbased-sem-prop-label-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-priorversion-type-annot	rdfbased-sem-prop-priorversion-type-annot	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-seealso-type	rdfbased-sem-prop-seealso-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-prop-versioninfo-type	rdfbased-sem-prop-versioninfo-type	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-rdfs-domain-cond	rdfbased-sem-rdfs-domain-cond	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfs-range-cond	rdfbased-sem-rdfs-range-cond	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfs-subclass-cond	rdfbased-sem-rdfs-subclass-cond	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfs-subclass-trans	rdfbased-sem-rdfs-subclass-trans	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfs-subprop-cond	rdfbased-sem-rdfs-subprop-cond	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfs-subprop-trans	rdfbased-sem-rdfs-subprop-trans	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfsext-domain-subprop	rdfbased-sem-rdfsext-domain-subprop	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfsext-domain-superclass	rdfbased-sem-rdfsext-domain-superclass	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfsext-range-subprop	rdfbased-sem-rdfsext-range-subprop	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-rdfsext-range-superclass	rdfbased-sem-rdfsext-range-superclass	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-allvalues-cmp-class	rdfbased-sem-restrict-allvalues-cmp-class	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-allvalues-cmp-prop	rdfbased-sem-restrict-allvalues-cmp-prop	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-allvalues-inst-obj	rdfbased-sem-restrict-allvalues-inst-obj	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-hasvalue-cmp-prop	rdfbased-sem-restrict-hasvalue-cmp-prop	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-hasvalue-inst-obj	rdfbased-sem-restrict-hasvalue-inst-obj	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-hasvalue-inst-subj	rdfbased-sem-restrict-hasvalue-inst-subj	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-maxcard-inst-obj-one	rdfbased-sem-restrict-maxcard-inst-obj-one	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-maxcard-inst-obj-zero	rdfbased-sem-restrict-maxcard-inst-obj-zero	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-restrict-maxqcr-inst-obj-one	rdfbased-sem-restrict-maxqcr-inst-obj-one	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-maxqcr-inst-obj-zero	rdfbased-sem-restrict-maxqcr-inst-obj-zero	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-restrict-somevalues-cmp-class	rdfbased-sem-restrict-somevalues-cmp-class	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-somevalues-cmp-prop	rdfbased-sem-restrict-somevalues-cmp-prop	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-restrict-somevalues-inst-subj	rdfbased-sem-restrict-somevalues-inst-subj	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
RoleChainViolationLumen	rolechainviolationlumen	ConsistencyTest;ProfileIdentificationTest	-	-	-	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
somevaluesfrom2bnode	somevaluesfrom2bnode	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
string-integer-clash	string-integer-clash	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
WebOnt-AllDifferent-001	webont-alldifferent-001	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-allValuesFrom-001	webont-allvaluesfrom-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-allValuesFrom-002	webont-allvaluesfrom-002	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-AnnotationProperty-002	webont-annotationproperty-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-AnnotationProperty-003	webont-annotationproperty-003	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-AnnotationProperty-004	webont-annotationproperty-004	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-backwardCompatibleWith-001	webont-backwardcompatiblewith-001	ConsistencyTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-backwardCompatibleWith-002	webont-backwardcompatiblewith-002	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL;RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-cardinality-001	webont-cardinality-001	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-cardinality-002	webont-cardinality-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-cardinality-003	webont-cardinality-003	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-cardinality-004	webont-cardinality-004	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-cardinality-006	webont-cardinality-006	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-Class-001	webont-class-001	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
WebOnt-Class-002	webont-class-002	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-Class-003	webont-class-003	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-Class-004	webont-class-004	ConsistencyTest;NegativeEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-Class-005	webont-class-005	ConsistencyTest;NegativeEntailmentTest;ProfileIdentificationTest	RDF-BASED	-	Proposed	RDFXML	yes	non-conclusion	graded-negative	not-vendored	decides-consistent
WebOnt-Class-005-direct	webont-class-005-direct	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT	-	Proposed	RDFXML	yes	conclusion	direct-semantics-only	graded	graded
WebOnt-Class-006	webont-class-006	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-complementOf-001	webont-complementof-001	ConsistencyTest;PositiveEntailmentTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
WebOnt-DatatypeProperty-001	webont-datatypeproperty-001	ConsistencyTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	none	not-an-entailment-test	graded	graded
WebOnt-description-logic-001	webont-description-logic-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-002	webont-description-logic-002	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-003	webont-description-logic-003	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-004	webont-description-logic-004	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-005	webont-description-logic-005	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-006	webont-description-logic-006	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-007	webont-description-logic-007	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-008	webont-description-logic-008	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-009	webont-description-logic-009	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-010	webont-description-logic-010	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-011	webont-description-logic-011	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-012	webont-description-logic-012	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-013	webont-description-logic-013	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-014	webont-description-logic-014	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-015	webont-description-logic-015	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-016	webont-description-logic-016	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-017	webont-description-logic-017	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-018	webont-description-logic-018	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-019	webont-description-logic-019	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-020	webont-description-logic-020	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-021	webont-description-logic-021	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
WebOnt-description-logic-022	webont-description-logic-022	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-023	webont-description-logic-023	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-inconsistent
WebOnt-description-logic-024	webont-description-logic-024	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
